generation,fitness,avg_rounds_lasted,avg_trait_aggressiveness,avg_trait_risk_tolerance,avg_trait_bluff_tendency,avg_trait_adaptability,avg_trait_position_awareness,avg_trait_chip_size_awareness,avg_action_bluff_attempts,avg_action_fold,avg_action_raise,avg_action_call,avg_action_all_in,avg_action_check
89,0.2089959634364503,8372.66,0.8070492361130723,0.5174840238440049,0.4151242700234801,0.5753364206088967,0.8892840727143911,0.19717200605245877,0.0,15.84,33316.62,33341.52,0.0,11.9
90,0.23410483069415144,17676.92,0.845013818079816,0.5653045177142468,0.3819324744656788,0.5468431346358361,0.8960296694363287,0.17169547777642982,0.0,38.06,66263.6,67532.58,0.0,2880.1
91,0.22382204642816655,14172.62,0.8188255472757962,0.5395521383805812,0.3481689230764898,0.6347837241510114,0.8989734837203409,0.13502641920592662,0.0,104.02,49676.38,51691.92,0.0,4674.98
92,0.2760725994960951,29886.88,0.8242816566671596,0.5626387720541813,0.36325281296272466,0.5768462316874647,0.9005788175727499,0.14818697340765924,0.0,53.52,115699.02,116601.92,0.0,2352.2
93,0.28578859565967696,36916.56,0.8412041600712092,0.4631344599692616,0.30011369393337584,0.6906102412090385,0.932577142860874,0.094077564956469,0.0,103.82,131975.7,136513.32,0.0,10495.88
94,0.22447970700369158,16430.64,0.8368134322064185,0.4451329727375059,0.2730976113883623,0.7095114110777629,0.9301088991511606,0.10139255352064659,0.0,142.26,49570.0,54370.64,0.0,10976.32
95,0.23740149497593432,19674.44,0.8112613224995165,0.44675678780979133,0.2857173812029998,0.7124446871227577,0.9068531768801281,0.1173123233713553,0.0,135.1,66040.96,69679.56,0.0,8558.92
96,0.24790569324273581,23469.32,0.8549004363308073,0.4845499706871714,0.3040574261986494,0.7014783767701838,0.8873190422587701,0.1209909035368852,0.0,116.02,82541.9,85727.02,0.0,7618.42
97,0.22388087751283664,15738.64,0.8366485796490158,0.4462864133543657,0.3068397575546903,0.6734245758530085,0.9049815011493029,0.12045930513404794,0.0,118.2,49578.78,53519.9,0.0,9072.66
98,0.2111067263536791,8833.28,0.7812835353126356,0.4642540048603358,0.3598069319560139,0.5917460135699514,0.7538721874092883,0.18690554365404594,0.0,61.88,33083.52,33722.28,0.0,1433.66
99,0.20012518224981302,4580.58,0.68344305268639,0.5111577012648609,0.45094484412879043,0.5371181773545495,0.6282235390065605,0.28129833959082506,0.0,23.08,18100.64,18295.98,0.0,20.72
